id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id1510700,2,2016-02-20 21:58:13,2016-02-20 21:59:10,1,-73.9583969116211,40.77262878417969,-73.95513153076173,40.77424240112305,N,57.0
id2954399,1,2016-06-27 11:22:37,2016-06-27 11:23:17,1,-74.00102996826173,40.75665283203125,-74.00099945068358,40.75662612915039,N,40.0
id3307903,2,2016-02-20 04:03:06,2016-02-21 03:33:00,3,-74.00810241699219,40.74148941040039,-74.00995635986328,40.7146110534668,N,84594.0
id3263580,2,2016-05-21 12:46:46,2016-05-21 12:46:49,2,-73.7823715209961,40.64876556396485,-73.7823715209961,40.64874649047852,N,3.0
id2730154,2,2016-03-29 22:39:46,2016-03-29 22:40:44,5,-73.9822006225586,40.7318115234375,-73.97994995117188,40.73481369018555,N,58.0
id0729156,2,2016-06-23 13:36:48,2016-06-23 13:36:50,3,-73.82765960693358,40.716175079345696,-73.82211303710938,40.71145248413086,N,2.0
id1091477,2,2016-05-07 18:36:22,2016-05-08 18:32:11,1,-73.99024200439453,40.750919342041016,-73.97628021240233,40.75088882446289,N,86149.0
id0971699,1,2016-05-19 07:20:41,2016-05-19 07:21:22,1,-73.99272918701173,40.737503051757805,-73.99273681640625,40.737449645996094,N,41.0
id0953001,1,2016-05-28 06:15:14,2016-05-28 06:15:54,1,-73.98403930664062,40.74663925170898,-73.98406982421875,40.746627807617195,N,40.0
id2456838,1,2016-01-13 20:11:46,2016-01-13 20:11:53,1,-73.79344177246092,40.644813537597656,-73.7952423095703,40.64466857910156,N,7.0
id2281954,1,2016-03-18 16:01:05,2016-03-18 16:01:54,1,-73.94962310791014,40.78083038330078,-73.95038604736328,40.77730941772461,N,49.0
id2843664,1,2016-02-06 15:27:14,2016-02-06 15:28:01,1,-73.98494720458984,40.751949310302734,-73.98355865478516,40.75155258178711,N,47.0
id0753277,1,2016-01-27 22:29:31,2016-01-27 22:29:58,1,-74.20985412597656,40.81685256958008,-74.20985412597656,40.81685256958008,N,27.0
id2134482,1,2016-01-22 16:13:01,2016-01-22 16:13:20,1,-73.77631378173827,40.64545440673828,-73.77631378173827,40.64545440673828,N,19.0
id3852188,1,2016-01-07 16:20:39,2016-01-07 16:21:27,1,-73.97882080078125,40.74769973754882,-73.97763061523438,40.74727249145508,N,48.0
id3431345,2,2016-06-07 12:58:48,2016-06-08 12:58:00,6,-73.9549560546875,40.77764892578125,-73.98103332519531,40.74371337890625,N,86352.0
id3899530,1,2016-02-27 00:13:39,2016-02-27 00:14:37,1,-73.98252105712889,40.727420806884766,-73.98058319091797,40.73006057739258,N,58.0
id0508736,1,2016-03-30 08:05:38,2016-03-30 08:05:41,1,-73.96409606933594,40.77717208862305,-73.9640884399414,40.777156829833984,N,3.0
id1895810,2,2016-04-04 00:32:53,2016-04-04 00:33:33,2,-73.97998809814453,40.68775939941406,-73.97855377197266,40.68524169921875,N,40.0
id2251007,2,2016-05-23 14:20:49,2016-05-23 14:20:57,1,-73.78182983398438,40.64469909667969,-73.78182983398438,40.64469909667969,N,8.0
id3831162,2,2016-02-18 20:26:11,2016-02-18 20:27:08,4,-74.00753021240233,40.72542572021485,-74.00685882568358,40.72990036010742,N,57.0
id1837685,2,2016-05-16 08:52:03,2016-05-16 08:52:22,1,-73.95081329345702,40.80256271362305,-73.9501953125,40.8023681640625,N,19.0
id3885040,1,2016-04-18 12:55:14,2016-04-18 12:55:20,1,-73.78823852539062,40.64147567749024,-73.78823852539062,40.64147567749024,N,6.0
id0305344,1,2016-06-10 06:14:28,2016-06-10 06:14:34,1,-73.7901840209961,40.64663696289063,-73.7901840209961,40.64664077758789,N,6.0
id2206138,1,2016-01-21 12:07:45,2016-01-21 12:07:51,1,-73.78271484375,40.64396667480469,-73.78271484375,40.64396667480469,N,6.0
id2857295,2,2016-01-28 23:34:01,2016-01-28 23:34:09,6,-73.99442291259764,40.73480987548828,-73.99375152587889,40.73455810546875,N,8.0
id0296060,2,2016-06-16 08:07:39,2016-06-16 10:11:39,2,-73.77908325195312,40.647491455078125,-74.00699615478516,40.70852279663086,N,7440.0
id1606138,2,2016-04-27 15:14:54,2016-04-27 15:15:01,2,-74.1777801513672,40.69028091430664,-74.1777801513672,40.69028091430664,N,7.0
id0210376,1,2016-05-10 14:08:36,2016-05-10 14:08:42,1,-73.79643249511719,40.64523696899414,-73.7977066040039,40.64540100097656,N,6.0
id2566676,2,2016-04-30 15:01:20,2016-04-30 15:02:07,3,-73.8639144897461,40.76992416381836,-73.86553955078125,40.770263671875,N,47.0
id1487069,2,2016-02-13 00:21:49,2016-02-14 00:19:05,1,-73.96858978271484,40.79921722412109,-73.97958374023438,40.784713745117195,N,86236.0
id1622938,1,2016-04-03 13:08:49,2016-04-03 13:08:59,1,-73.98722839355469,40.739524841308594,-73.98722839355469,40.73952865600586,N,10.0
id1085743,1,2016-05-14 00:54:12,2016-05-14 00:55:06,1,-73.94617462158203,40.77732849121094,-73.94706726074217,40.7741813659668,N,54.0
id1006773,1,2016-02-04 20:57:54,2016-02-04 20:58:06,1,-73.99875640869139,40.76025772094727,-73.99876403808595,40.76022720336913,N,12.0
id2058812,1,2016-04-05 23:41:41,2016-04-05 23:42:28,1,-73.92953491210938,40.65972137451172,-73.92958068847656,40.659683227539055,N,47.0
id3843707,2,2016-01-25 19:07:11,2016-01-25 19:07:40,1,-73.99094390869139,40.73956298828125,-73.99029541015625,40.7393913269043,N,29.0
id3695064,1,2016-04-11 15:30:02,2016-04-11 15:30:19,1,-73.7940673828125,40.65717315673828,-73.7940673828125,40.65717315673828,N,17.0
id1271427,1,2016-06-26 13:52:10,2016-06-26 13:52:30,1,-73.9515380859375,40.78115463256836,-73.95153045654298,40.78115463256836,N,20.0
id3674870,2,2016-03-18 11:54:20,2016-03-19 11:34:17,1,-73.9890899658203,40.73699188232422,-73.97233581542967,40.751510620117195,N,85197.0
id3632390,2,2016-06-08 08:54:33,2016-06-09 07:58:09,5,-73.98056030273438,40.74246597290039,-73.9847183227539,40.74861145019531,N,83016.0
id3463067,2,2016-01-09 09:16:41,2016-01-09 09:17:31,6,-73.91735076904298,40.76109313964844,-73.91893768310547,40.7591209411621,N,50.0
id0719015,1,2016-06-11 16:09:09,2016-06-11 16:09:17,1,-73.98831176757811,40.7462043762207,-73.98841857910156,40.74618911743164,N,8.0
id0915475,1,2016-03-14 06:03:38,2016-03-14 06:03:43,1,-73.98240661621094,40.731143951416016,-73.98240661621094,40.731143951416016,N,5.0
id0233156,1,2016-01-25 16:28:15,2016-01-25 16:28:20,1,-73.9785614013672,40.756397247314446,-73.9786376953125,40.75632095336913,N,5.0
id1005455,1,2016-02-09 11:27:53,2016-02-09 11:28:12,1,-73.79401397705078,40.65687561035156,-73.79401397705078,40.6568717956543,N,19.0
id3865480,2,2016-04-27 14:33:34,2016-04-27 14:34:24,1,-73.96600341796875,40.762115478515625,-73.9637222290039,40.76565170288086,N,50.0
id3354426,2,2016-05-05 15:18:41,2016-05-06 15:11:07,1,-73.9890365600586,40.77351379394531,-73.98068237304686,40.78152084350586,N,85946.0
id2686746,2,2016-05-28 17:26:34,2016-05-28 17:27:28,1,-73.9823989868164,40.748531341552734,-73.97917938232422,40.75239944458008,N,54.0
